115.23 Hz | Z: -9.13 Magnitude: 0.02
116.21 Hz | Z: -9.13 Magnitude: 0.01
117.19 Hz | Z: -9.13 Magnitude: 0.08
118.16 Hz | Z: -9.13 Magnitude: 0.02
119.14 Hz | Z: -9.13 Magnitude: 0.03
120.12 Hz | Z: -9.13 Magnitude: 0.02
121.09 Hz | Z: -9.13 Magnitude: 0.05
122.07 Hz | Z: -9.13 Magnitude: 0.01
123.05 Hz | Z: -9.13 Magnitude: 0.04
124.02 Hz | Z: -9.13 Magnitude: 0.01
125.00 Hz | Z: -9.13 Magnitude: 0.07
125.98 Hz | Z: -9.13 Magnitude: 0.06
126.95 Hz | Z: -9.13 Magnitude: 0.03
127.93 Hz | Z: -9.13 Magnitude: 0.04
128.91 Hz | Z: -9.14 Magnitude: 0.02
129.88 Hz | Z: -9.14 Magnitude: 0.01
130.86 Hz | Z: -9.14 Magnitude: 0.01
131.84 Hz | Z: -9.14 Magnitude: 0.04
132.81 Hz | Z: -9.13 Magnitude: 0.04
133.79 Hz | Z: -9.13 Magnitude: 0.01
134.77 Hz | Z: -9.13 Magnitude: 0.02
135.74 Hz | Z: -9.13 Magnitude: 0.03
136.72 Hz | Z: -9.13 Magnitude: 0.08
137.70 Hz | Z: -9.13 Magnitude: 0.04
138.67 Hz | Z: -9.13 Magnitude: 0.01
139.65 Hz | Z: -9.13 Magnitude: 0.02
140.62 Hz | Z: -9.13 Magnitude: 0.04
141.60 Hz | Z: -9.13 Magnitude: 0.03
142.58 Hz | Z: -9.13 Magnitude: 0.05
143.55 Hz | Z: -9.13 Magnitude: 0.05
144.53 Hz | Z: -9.12 Magnitude: 0.04
145.51 Hz | Z: -9.12 Magnitude: 0.07
146.48 Hz | Z: -9.12 Magnitude: 0.04
147.46 Hz | Z: -9.12 Magnitude: 0.02
148.44 Hz | Z: -9.12 Magnitude: 0.02
149.41 Hz | Z: -9.12 Magnitude: 0.05
150.39 Hz | Z: -9.12 Magnitude: 0.05
151.37 Hz | Z: -9.12 Magnitude: 0.01
