0.00 Hz | Z: -4.55 Magnitude: 2325.96
0.98 Hz | Z: -4.55 Magnitude: 0.81
1.95 Hz | Z: -4.55 Magnitude: 0.82
2.93 Hz | Z: -4.54 Magnitude: 0.54
3.91 Hz | Z: -4.54 Magnitude: 0.31
4.88 Hz | Z: -4.55 Magnitude: 0.56
5.86 Hz | Z: -4.54 Magnitude: 0.84
6.84 Hz | Z: -4.54 Magnitude: 0.55
7.81 Hz | Z: -4.54 Magnitude: 0.11
8.79 Hz | Z: -4.54 Magnitude: 0.76
9.77 Hz | Z: -4.54 Magnitude: 0.29
10.74 Hz | Z: -4.54 Magnitude: 0.70
11.72 Hz | Z: -4.54 Magnitude: 0.75
12.70 Hz | Z: -4.54 Magnitude: 0.57
13.67 Hz | Z: -4.54 Magnitude: 0.56
14.65 Hz | Z: -4.54 Magnitude: 0.47
15.63 Hz | Z: -4.54 Magnitude: 0.37
16.60 Hz | Z: -4.54 Magnitude: 0.33
17.58 Hz | Z: -4.54 Magnitude: 0.19
18.55 Hz | Z: -4.54 Magnitude: 0.28
19.53 Hz | Z: -4.54 Magnitude: 0.27
20.51 Hz | Z: -4.54 Magnitude: 0.34
21.48 Hz | Z: -4.54 Magnitude: 0.19
22.46 Hz | Z: -4.54 Magnitude: 0.16
23.44 Hz | Z: -4.55 Magnitude: 0.25
24.41 Hz | Z: -4.54 Magnitude: 0.32
25.39 Hz | Z: -4.55 Magnitude: 0.29
26.37 Hz | Z: -4.54 Magnitude: 0.14
27.34 Hz | Z: -4.54 Magnitude: 0.18
28.32 Hz | Z: -4.54 Magnitude: 0.24
29.30 Hz | Z: -4.54 Magnitude: 0.27
30.27 Hz | Z: -4.54 Magnitude: 0.25
31.25 Hz | Z: -4.54 Magnitude: 0.29
32.23 Hz | Z: -4.54 Magnitude: 0.18
33.20 Hz | Z: -4.54 Magnitude: 0.20
34.18 Hz | Z: -4.54 Magnitude: 0.11
35.16 Hz | Z: -4.54 Magnitude: 0.09
36.13 Hz | Z: -4.54 Magnitude: 0.20
37.11 Hz | Z: -4.55 Magnitude: 0.24
38.09 Hz | Z: -4.55 Magnitude: 0.12
39.06 Hz | Z: -4.55 Magnitude: 0.11
40.04 Hz | Z: -4.55 Magnitude: 0.08
