0.00 Hz | Z: -4.93 Magnitude: 2510.86
0.98 Hz | Z: -4.92 Magnitude: 2.32
1.95 Hz | Z: -4.92 Magnitude: 1.47
2.93 Hz | Z: -4.92 Magnitude: 0.64
3.91 Hz | Z: -4.92 Magnitude: 0.36
4.88 Hz | Z: -4.93 Magnitude: 1.06
5.86 Hz | Z: -4.93 Magnitude: 0.74
6.84 Hz | Z: -4.93 Magnitude: 0.30
7.81 Hz | Z: -4.93 Magnitude: 0.43
8.79 Hz | Z: -4.93 Magnitude: 1.07
9.77 Hz | Z: -4.93 Magnitude: 1.17
10.74 Hz | Z: -4.93 Magnitude: 0.52
11.72 Hz | Z: -4.93 Magnitude: 0.49
12.70 Hz | Z: -4.92 Magnitude: 0.50
13.67 Hz | Z: -4.92 Magnitude: 0.85
14.65 Hz | Z: -4.92 Magnitude: 0.70
15.63 Hz | Z: -4.92 Magnitude: 0.85
16.60 Hz | Z: -4.93 Magnitude: 0.50
17.58 Hz | Z: -4.92 Magnitude: 0.55
18.55 Hz | Z: -4.93 Magnitude: 0.26
19.53 Hz | Z: -4.92 Magnitude: 0.25
20.51 Hz | Z: -4.93 Magnitude: 0.43
21.48 Hz | Z: -4.92 Magnitude: 0.05
22.46 Hz | Z: -4.92 Magnitude: 0.38
23.44 Hz | Z: -4.92 Magnitude: 0.17
24.41 Hz | Z: -4.92 Magnitude: 0.21
25.39 Hz | Z: -4.92 Magnitude: 0.16
26.37 Hz | Z: -4.92 Magnitude: 0.17
27.34 Hz | Z: -4.92 Magnitude: 0.20
28.32 Hz | Z: -4.92 Magnitude: 0.26
29.30 Hz | Z: -4.91 Magnitude: 0.22
30.27 Hz | Z: -4.92 Magnitude: 0.10
31.25 Hz | Z: -4.92 Magnitude: 0.34
32.23 Hz | Z: -4.92 Magnitude: 0.19
33.20 Hz | Z: -4.91 Magnitude: 0.21
34.18 Hz | Z: -4.92 Magnitude: 0.17
35.16 Hz | Z: -4.92 Magnitude: 0.26
36.13 Hz | Z: -4.93 Magnitude: 0.23
37.11 Hz | Z: -4.93 Magnitude: 0.18
38.09 Hz | Z: -4.92 Magnitude: 0.23
39.06 Hz | Z: -4.91 Magnitude: 0.15
40.04 Hz | Z: -4.91 Magnitude: 0.23
41.02 Hz | Z: -4.91 Magnitude: 0.25
41.99 Hz | Z: -4.91 Magnitude: 0.09
42.97 Hz | Z: -4.90 Magnitude: 0.16
43.95 Hz | Z: -4.90 Magnitude: 0.03
44.92 Hz | Z: -4.90 Magnitude: 0.11
45.90 Hz | Z: -4.90 Magnitude: 0.24
46.88 Hz | Z: -4.90 Magnitude: 0.18
47.85 Hz | Z: -4.91 Magnitude: 0.10
48.83 Hz | Z: -4.91 Magnitude: 0.02
49.80 Hz | Z: -4.91 Magnitude: 0.08
50.78 Hz | Z: -4.91 Magnitude: 0.19
51.76 Hz | Z: -4.91 Magnitude: 0.18
52.73 Hz | Z: -4.91 Magnitude: 0.24
53.71 Hz | Z: -4.91 Magnitude: 0.17
54.69 Hz | Z: -4.91 Magnitude: 0.23
55.66 Hz | Z: -4.91 Magnitude: 0.14
56.64 Hz | Z: -4.91 Magnitude: 0.16
57.62 Hz | Z: -4.91 Magnitude: 0.08
58.59 Hz | Z: -4.91 Magnitude: 0.08
59.57 Hz | Z: -4.92 Magnitude: 0.12
60.55 Hz | Z: -4.92 Magnitude: 0.06
61.52 Hz | Z: -4.92 Magnitude: 0.06
62.50 Hz | Z: -4.92 Magnitude: 0.03
63.48 Hz | Z: -4.92 Magnitude: 0.10
64.45 Hz | Z: -4.93 Magnitude: 0.07
65.43 Hz | Z: -4.93 Magnitude: 0.02
66.41 Hz | Z: -4.93 Magnitude: 0.09
67.38 Hz | Z: -4.93 Magnitude: 0.06
68.36 Hz | Z: -4.92 Magnitude: 0.15
69.34 Hz | Z: -4.93 Magnitude: 0.22
70.31 Hz | Z: -4.93 Magnitude: 0.16
71.29 Hz | Z: -4.93 Magnitude: 0.09
72.27 Hz | Z: -4.93 Magnitude: 0.12
73.24 Hz | Z: -4.93 Magnitude: 0.07
74.22 Hz | Z: -4.93 Magnitude: 0.01
75.20 Hz | Z: -4.92 Magnitude: 0.02
76.17 Hz | Z: -4.92 Magnitude: 0.09
77.15 Hz | Z: -4.92 Magnitude: 0.08
78.12 Hz | Z: -4.92 Magnitude: 0.07
79.10 Hz | Z: -4.92 Magnitude: 0.13
80.08 Hz | Z: -4.91 Magnitude: 0.14
81.05 Hz | Z: -4.91 Magnitude: 0.13
82.03 Hz | Z: -4.91 Magnitude: 0.08
83.01 Hz | Z: -4.91 Magnitude: 0.13
